                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.7853,                0.87775,                0.85393,                0.71626,                0.56637,                 0.6055,                 0.3578,                 1.5845,                0.85636,                0.85452,               0.006634,               0.006634,               0.006634
                     36,                 1.7481,                0.88073,                0.85146,                0.73216,                0.57302,                0.62637,                0.36375,                 1.5932,                0.86234,                0.85507,               0.006535,               0.006535,               0.006535
                     37,                 1.7395,                0.87532,                0.84777,                 0.7489,                0.56313,                0.62598,                0.36902,                 1.5993,                0.85146,                 0.8543,               0.006436,               0.006436,               0.006436
                     38,                 1.7125,                0.85624,                0.84953,                  0.719,                  0.564,                0.61339,                 0.3516,                 1.7058,                0.88261,                0.86444,               0.006337,               0.006337,               0.006337
                     39,                 1.6931,                0.86129,                0.84639,                 0.7118,                0.58272,                0.62992,                0.36018,                 1.6202,                0.86454,                0.85528,               0.006238,               0.006238,               0.006238
                     40,                 1.7078,                0.85873,                0.84786,                 0.7463,                0.59007,                0.63595,                0.37302,                  1.597,                0.83804,                0.86045,               0.006139,               0.006139,               0.006139
                     41,                 1.6883,                0.85673,                0.84708,                 0.7692,                0.55969,                0.62263,                0.36853,                 1.5716,                0.82999,                0.85393,                0.00604,                0.00604,                0.00604
                     42,                  1.676,                 0.8388,                0.84456,                  0.714,                0.59826,                0.63315,                0.38006,                 1.5484,                0.82869,                0.85124,               0.005941,               0.005941,               0.005941
                     43,                 1.6762,                0.83604,                0.84411,                0.68773,                0.57381,                0.63217,                0.36899,                 1.6137,                0.83783,                0.85621,               0.005842,               0.005842,               0.005842
                     44,                  1.643,                 0.8281,                0.84223,                0.73163,                0.57384,                0.63734,                0.38408,                 1.5914,                0.82479,                0.85728,               0.005743,               0.005743,               0.005743
                     45,                 1.6501,                0.82551,                0.84443,                0.74622,                0.57131,                 0.6259,                0.37836,                 1.5637,                0.83808,                0.85429,               0.005644,               0.005644,               0.005644
                     46,                 1.6698,                0.83824,                0.83831,                0.70625,                0.59636,                0.62924,                0.38096,                 1.5137,                0.81404,                0.85416,               0.005545,               0.005545,               0.005545
                     47,                 1.6075,                0.79583,                0.83618,                0.80676,                0.56749,                0.63451,                0.39139,                 1.5027,                0.80538,                0.84771,               0.005446,               0.005446,               0.005446
                     48,                 1.6495,                0.81313,                0.83834,                0.75989,                0.57576,                0.63956,                0.37572,                 1.5698,                0.82832,                0.85182,               0.005347,               0.005347,               0.005347
                     49,                 1.6169,                0.82026,                0.84094,                0.71755,                 0.5844,                0.63609,                0.38433,                 1.5237,                0.81321,                 0.8488,               0.005248,               0.005248,               0.005248
                     50,                 1.5675,                0.79553,                0.84088,                0.70442,                0.61971,                0.64595,                0.39862,                 1.5561,                 0.8118,                0.85554,               0.005149,               0.005149,               0.005149
                     51,                 1.6205,                0.80284,                0.83794,                0.70579,                0.60346,                0.63052,                0.38105,                 1.5178,                0.83996,                0.84962,                0.00505,                0.00505,                0.00505
                     52,                 1.5977,                0.81291,                0.83451,                0.71523,                 0.6049,                0.64626,                0.39486,                 1.5254,                0.80431,                0.84657,               0.004951,               0.004951,               0.004951
                     53,                 1.5862,                0.78953,                0.83394,                0.76956,                0.59883,                0.65357,                0.40462,                 1.5159,                0.79959,                0.84719,               0.004852,               0.004852,               0.004852
                     54,                 1.5854,                 0.7848,                0.83043,                0.73213,                0.60739,                0.65098,                0.41397,                 1.4979,                0.79643,                0.84284,               0.004753,               0.004753,               0.004753
                     55,                 1.5098,                0.77192,                0.83441,                0.77764,                0.58735,                0.64977,                0.40218,                 1.4808,                0.79507,                0.84415,               0.004654,               0.004654,               0.004654
                     56,                 1.5641,                0.77536,                0.83466,                0.74153,                0.61316,                0.65083,                0.40001,                 1.4815,                0.81377,                0.84407,               0.004555,               0.004555,               0.004555
                     57,                  1.518,                0.76822,                0.83335,                0.70042,                0.62549,                0.64406,                0.40215,                 1.4927,                0.79699,                0.84358,               0.004456,               0.004456,               0.004456
                     58,                 1.5453,                0.76995,                0.83116,                  0.742,                0.59773,                0.64657,                0.39719,                 1.4718,                0.78826,                0.84014,               0.004357,               0.004357,               0.004357
                     59,                 1.4952,                0.75091,                0.82921,                0.71563,                0.61175,                 0.6507,                0.40769,                  1.451,                0.77995,                0.84155,               0.004258,               0.004258,               0.004258
                     60,                 1.5901,                0.77107,                0.83026,                0.72898,                0.61897,                 0.6506,                 0.3981,                 1.4831,                0.78203,                0.84381,               0.004159,               0.004159,               0.004159
                     61,                 1.5427,                0.75733,                0.82311,                0.71269,                0.61434,                0.65241,                0.40048,                  1.509,                0.78637,                0.84579,                0.00406,                0.00406,                0.00406
                     62,                 1.5385,                0.75254,                0.82934,                 0.7555,                0.60067,                0.65181,                0.40884,                 1.4503,                0.77083,                0.84098,               0.003961,               0.003961,               0.003961
                     63,                 1.5424,                0.76687,                0.82779,                0.72234,                0.59867,                0.64113,                  0.409,                 1.4409,                0.77365,                0.83799,               0.003862,               0.003862,               0.003862
                     64,                 1.5313,                0.75152,                0.82773,                0.72666,                0.62254,                0.66114,                0.41598,                 1.4445,                0.77764,                0.84011,               0.003763,               0.003763,               0.003763
                     65,                 1.4624,                0.74086,                0.82339,                0.77122,                0.58704,                0.64837,                0.40979,                 1.4408,                0.79536,                 0.8413,               0.003664,               0.003664,               0.003664
                     66,                 1.4721,                0.73492,                0.82546,                0.73856,                0.60655,                0.65126,                0.41851,                 1.4427,                0.78376,                0.83952,               0.003565,               0.003565,               0.003565
                     67,                 1.4778,                0.72775,                0.82714,                0.71308,                0.62677,                0.65564,                0.41124,                 1.4575,                0.78495,                0.84065,               0.003466,               0.003466,               0.003466
                     68,                 1.4922,                0.73761,                0.82581,                 0.7422,                0.59851,                0.65182,                0.40944,                 1.4297,                0.77313,                0.84005,               0.003367,               0.003367,               0.003367
                     69,                 1.4764,                0.73035,                0.82543,                0.73371,                0.59599,                0.64107,                0.41484,                 1.4317,                0.77237,                0.83933,               0.003268,               0.003268,               0.003268
                     70,                 1.4606,                  0.726,                0.82257,                0.75794,                0.58211,                0.63887,                0.40379,                 1.4206,                0.77118,                0.83622,               0.003169,               0.003169,               0.003169
                     71,                 1.4798,                0.72826,                0.82213,                0.72949,                0.60444,                0.63914,                0.41271,                 1.3991,                0.77398,                0.83518,                0.00307,                0.00307,                0.00307
                     72,                 1.4159,                0.71003,                0.82268,                0.76627,                0.59244,                0.65166,                 0.4103,                  1.425,                0.77411,                0.83731,               0.002971,               0.002971,               0.002971
                     73,                 1.4763,                0.71902,                0.82264,                0.75348,                0.60234,                0.64887,                0.40988,                 1.4244,                 0.7783,                0.83732,               0.002872,               0.002872,               0.002872
                     74,                 1.4183,                0.70673,                0.82291,                 0.6942,                0.62432,                0.65544,                0.41665,                 1.4164,                0.77193,                0.83682,               0.002773,               0.002773,               0.002773
                     75,                  1.425,                0.69953,                0.82196,                0.73226,                0.61831,                0.65435,                0.42265,                    1.4,                0.77482,                0.83627,               0.002674,               0.002674,               0.002674
                     76,                  1.437,                0.70321,                0.81919,                0.73345,                0.62378,                0.65877,                0.42839,                 1.3905,                0.76309,                0.83342,               0.002575,               0.002575,               0.002575
                     77,                 1.3939,                0.68168,                0.81909,                0.75666,                0.62876,                0.66274,                0.42448,                 1.3828,                0.76265,                 0.8361,               0.002476,               0.002476,               0.002476
                     78,                 1.4077,                0.68882,                0.81775,                0.76259,                0.62701,                0.66392,                0.41837,                 1.3752,                0.75559,                0.83572,               0.002377,               0.002377,               0.002377
                     79,                 1.3793,                 0.6749,                0.81985,                0.72482,                0.63667,                 0.6662,                0.42792,                 1.3862,                0.76097,                0.83685,               0.002278,               0.002278,               0.002278
                     80,                 1.3894,                 0.6723,                 0.8211,                0.74211,                0.63809,                 0.6734,                0.43219,                 1.3942,                0.75207,                0.83543,               0.002179,               0.002179,               0.002179
                     81,                  1.368,                0.66819,                0.82012,                0.70717,                0.64043,                0.66861,                0.43895,                  1.377,                0.75373,                 0.8371,                0.00208,                0.00208,                0.00208
                     82,                 1.3939,                0.67511,                0.81567,                0.72771,                0.63751,                 0.6717,                0.44169,                  1.388,                0.74494,                 0.8368,               0.001981,               0.001981,               0.001981
                     83,                 1.3855,                 0.6795,                0.81686,                0.74402,                0.62773,                0.66854,                0.43347,                 1.3897,                0.73694,                0.83631,               0.001882,               0.001882,               0.001882
