                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0775,                 1.2541,                0.88434,                0.54846,                0.48093,                0.48836,                0.26722,                 1.9032,                 1.1238,                0.88652,               0.006634,               0.006634,               0.006634
                     36,                 2.0269,                 1.2592,                0.88325,                0.60908,                0.49369,                0.49277,                0.27612,                 1.8949,                 1.1142,                 0.8835,               0.006535,               0.006535,               0.006535
                     37,                 2.0395,                 1.2665,                0.88101,                0.53676,                0.49571,                0.48345,                0.26293,                 1.8887,                 1.1059,                0.88542,               0.006436,               0.006436,               0.006436
                     38,                 2.0011,                 1.2073,                0.88224,                0.56211,                 0.4911,                0.47742,                  0.264,                 1.8106,                  1.067,                0.87841,               0.006337,               0.006337,               0.006337
                     39,                  2.003,                 1.2104,                0.88067,                0.54176,                0.51827,                0.46025,                0.26196,                 1.8609,                 1.0925,                0.88501,               0.006238,               0.006238,               0.006238
                     40,                 2.0196,                 1.1996,                0.87957,                0.55962,                0.50719,                 0.4887,                 0.2695,                 1.8424,                   1.07,                0.88064,               0.006139,               0.006139,               0.006139
                     41,                 1.9977,                 1.1934,                0.87852,                0.60262,                0.50946,                0.49308,                0.27344,                 1.8605,                 1.0594,                0.87411,                0.00604,                0.00604,                0.00604
                     42,                 1.9997,                 1.2034,                0.87618,                0.64593,                0.47662,                0.46814,                0.26592,                 1.8219,                 1.0466,                0.87588,               0.005941,               0.005941,               0.005941
                     43,                 1.9935,                 1.1725,                0.87396,                0.54222,                0.52113,                0.47967,                0.26861,                 1.8036,                 1.0345,                0.87674,               0.005842,               0.005842,               0.005842
                     44,                 1.9541,                 1.1722,                 0.8705,                0.61273,                0.50889,                0.50315,                0.27867,                 1.8431,                 1.0994,                0.88222,               0.005743,               0.005743,               0.005743
                     45,                 1.9717,                 1.1736,                 0.8727,                0.62891,                0.48936,                0.49149,                0.27285,                  1.809,                 1.0603,                0.87513,               0.005644,               0.005644,               0.005644
                     46,                 1.9655,                 1.1725,                0.86536,                0.58391,                0.50601,                0.47528,                0.27046,                 1.8375,                 1.0441,                0.87712,               0.005545,               0.005545,               0.005545
                     47,                 1.9219,                 1.1275,                0.86609,                0.61279,                0.50797,                0.48953,                0.27948,                 1.7771,                 1.0073,                 0.8711,               0.005446,               0.005446,               0.005446
                     48,                 1.9738,                 1.1648,                0.86878,                0.59285,                0.51522,                0.50334,                0.27656,                 1.8144,                  1.028,                 0.8723,               0.005347,               0.005347,               0.005347
                     49,                 1.9364,                 1.1638,                 0.8692,                0.58754,                0.50051,                0.51047,                0.29261,                 1.7844,                 1.0325,                0.87051,               0.005248,               0.005248,               0.005248
                     50,                 1.9128,                 1.1328,                0.87105,                0.57766,                0.51175,                0.50122,                 0.2857,                 1.7722,                 1.0317,                0.86921,               0.005149,               0.005149,               0.005149
                     51,                 1.9379,                 1.1281,                0.86901,                0.61143,                0.50657,                0.49657,                0.28462,                 1.7699,                 1.0125,                0.87023,                0.00505,                0.00505,                0.00505
                     52,                 1.9264,                 1.1377,                0.86667,                0.59761,                0.51058,                0.49874,                0.28302,                 1.7938,                  1.024,                0.87191,               0.004951,               0.004951,               0.004951
                     53,                 1.8995,                 1.1099,                 0.8638,                 0.6192,                0.51065,                0.50768,                0.28101,                 1.7697,                 1.0224,                0.87275,               0.004852,               0.004852,               0.004852
                     54,                 1.8989,                 1.1186,                  0.858,                0.57808,                0.51667,                0.52156,                0.29553,                 1.8002,                 1.0386,                0.86835,               0.004753,               0.004753,               0.004753
                     55,                 1.8377,                 1.0976,                0.86365,                0.66993,                0.48868,                0.51347,                0.29484,                 1.7804,                 1.0374,                0.87044,               0.004654,               0.004654,               0.004654
                     56,                 1.8939,                 1.0976,                0.86467,                0.60764,                0.52291,                0.52508,                0.30232,                 1.7549,                  1.004,                0.86906,               0.004555,               0.004555,               0.004555
                     57,                 1.8485,                 1.0813,                0.86415,                0.59474,                0.53717,                0.53492,                0.30372,                 1.7688,                 1.0125,                0.86805,               0.004456,               0.004456,               0.004456
                     58,                 1.8481,                 1.0871,                0.85742,                0.60583,                0.53509,                0.53829,                 0.3136,                 1.7449,                0.99151,                0.86668,               0.004357,               0.004357,               0.004357
                     59,                 1.8242,                  1.072,                0.85889,                0.63777,                0.51602,                0.51062,                0.30561,                 1.7427,                 0.9838,                 0.8664,               0.004258,               0.004258,               0.004258
                     60,                 1.9239,                 1.1002,                 0.8604,                0.61337,                0.52187,                0.54028,                0.31803,                 1.7298,                0.98815,                0.86534,               0.004159,               0.004159,               0.004159
                     61,                  1.878,                 1.0823,                0.85268,                0.63513,                0.53334,                0.55791,                0.31559,                 1.7465,                 0.9862,                0.86495,                0.00406,                0.00406,                0.00406
                     62,                 1.8482,                 1.0646,                0.85592,                 0.6179,                0.53321,                 0.5498,                0.32023,                 1.7087,                 0.9761,                0.86541,               0.003961,               0.003961,               0.003961
                     63,                 1.8541,                 1.0789,                0.85653,                0.68482,                0.52119,                0.54747,                0.31804,                  1.739,                0.98063,                0.86233,               0.003862,               0.003862,               0.003862
                     64,                 1.8772,                 1.0708,                0.85463,                0.68051,                0.49067,                0.54176,                0.31546,                 1.7233,                0.97187,                0.86202,               0.003763,               0.003763,               0.003763
                     65,                 1.7953,                 1.0467,                0.85076,                0.61382,                0.51692,                0.53886,                0.31548,                 1.7061,                0.96002,                 0.8602,               0.003664,               0.003664,               0.003664
                     66,                 1.8294,                 1.0658,                0.85763,                0.66664,                0.51175,                0.54983,                0.31068,                 1.7455,                0.97686,                0.86275,               0.003565,               0.003565,               0.003565
                     67,                 1.8371,                 1.0542,                0.85772,                0.67926,                0.52587,                0.54309,                0.31402,                 1.7144,                0.95906,                0.86385,               0.003466,               0.003466,               0.003466
                     68,                 1.8289,                 1.0487,                0.85597,                0.63943,                0.52122,                 0.5401,                0.31535,                 1.6968,                 0.9498,                0.86269,               0.003367,               0.003367,               0.003367
                     69,                 1.8181,                  1.047,                0.85414,                0.64172,                0.53375,                0.56541,                0.30963,                 1.7355,                0.97397,                 0.8631,               0.003268,               0.003268,               0.003268
                     70,                  1.809,                 1.0506,                0.85183,                0.66215,                0.51963,                 0.5565,                0.31953,                 1.7384,                0.97985,                0.86442,               0.003169,               0.003169,               0.003169
                     71,                  1.813,                 1.0437,                0.85125,                0.64615,                0.53517,                0.55832,                0.32773,                 1.7015,                0.94247,                0.86342,                0.00307,                0.00307,                0.00307
                     72,                 1.7644,                 1.0299,                 0.8533,                0.69035,                0.51385,                0.56865,                0.32963,                 1.7332,                0.95521,                0.86104,               0.002971,               0.002971,               0.002971
                     73,                 1.8188,                  1.031,                0.85105,                0.67878,                  0.521,                0.56938,                0.33199,                 1.7078,                0.94437,                0.86142,               0.002872,               0.002872,               0.002872
                     74,                 1.7614,                 1.0174,                0.85365,                0.67393,                0.50606,                0.56932,                0.33003,                 1.6804,                0.95038,                0.85838,               0.002773,               0.002773,               0.002773
                     75,                 1.7565,                 1.0118,                0.84998,                 0.6823,                0.51552,                0.56041,                0.33648,                  1.693,                0.95349,                0.85606,               0.002674,               0.002674,               0.002674
                     76,                 1.7812,                 1.0163,                 0.8485,                0.70657,                0.50009,                0.55006,                0.33013,                 1.7006,                0.93968,                0.85849,               0.002575,               0.002575,               0.002575
                     77,                  1.737,                0.99413,                 0.8492,                0.67872,                0.53944,                0.56056,                0.33642,                 1.6955,                0.95379,                0.85858,               0.002476,               0.002476,               0.002476
                     78,                 1.7592,                 1.0112,                0.84861,                0.66588,                0.52731,                0.55145,                0.33071,                 1.6816,                0.94251,                 0.8596,               0.002377,               0.002377,               0.002377
                     79,                 1.7352,                0.99862,                0.85185,                0.72662,                0.50013,                0.55916,                0.33915,                 1.6678,                0.93934,                0.85825,               0.002278,               0.002278,               0.002278
                     80,                 1.7496,                 0.9948,                0.85214,                0.67099,                0.52988,                0.56654,                0.34109,                 1.6574,                0.92434,                0.85697,               0.002179,               0.002179,               0.002179
                     81,                 1.7305,                0.97449,                 0.8516,                0.72272,                0.52505,                0.57732,                0.34675,                 1.6626,                0.92329,                0.85365,                0.00208,                0.00208,                0.00208
                     82,                 1.7603,                0.99636,                0.84561,                0.70404,                0.52533,                0.58495,                0.34743,                  1.649,                0.92258,                0.85209,               0.001981,               0.001981,               0.001981
                     83,                 1.7526,                0.99278,                0.84841,                0.66456,                0.53162,                0.56984,                0.34481,                 1.6492,                0.91562,                0.85456,               0.001882,               0.001882,               0.001882
                     84,                 1.7175,                0.97876,                0.84376,                0.63914,                0.54271,                 0.5732,                0.34391,                 1.6355,                0.91537,                0.85431,               0.001783,               0.001783,               0.001783
                     85,                 1.7127,                0.96779,                 0.8449,                0.64251,                0.56664,                0.58705,                0.34648,                 1.6594,                0.92582,                0.85625,               0.001684,               0.001684,               0.001684
                     86,                 1.7206,                0.98397,                0.84641,                0.69371,                0.52974,                0.58024,                0.35331,                 1.6688,                0.91743,                0.85698,               0.001585,               0.001585,               0.001585
                     87,                 1.7421,                0.98144,                 0.8437,                0.70973,                0.55597,                0.58805,                0.33873,                 1.7059,                  0.922,                0.85885,               0.001486,               0.001486,               0.001486
                     88,                 1.6938,                0.96699,                 0.8496,                0.70478,                0.53668,                0.58592,                0.34103,                 1.6508,                0.90851,                0.85597,               0.001387,               0.001387,               0.001387
                     89,                 1.7058,                0.96082,                0.84168,                0.68023,                0.53642,                0.58102,                0.34597,                 1.6491,                0.90291,                0.85483,               0.001288,               0.001288,               0.001288
                     90,                 1.6401,                0.95277,                 0.8512,                0.73187,                0.51435,                0.56666,                0.34011,                 1.6594,                0.92624,                0.85925,               0.001189,               0.001189,               0.001189
                     91,                 1.6092,                0.93771,                0.84952,                0.70282,                0.52763,                0.58054,                 0.3423,                 1.6566,                0.90767,                0.85713,                0.00109,                0.00109,                0.00109
                     92,                 1.6053,                0.93235,                0.85017,                0.67962,                0.55041,                0.58123,                0.34118,                 1.6437,                0.90614,                0.85281,               0.000991,               0.000991,               0.000991
                     93,                 1.5914,                0.91668,                0.85164,                0.69152,                0.53715,                0.57656,                0.33952,                  1.654,                0.91398,                0.85471,               0.000892,               0.000892,               0.000892
                     94,                 1.6176,                0.93299,                0.84405,                0.67164,                 0.5539,                0.58786,                0.35105,                 1.6339,                0.89763,                 0.8525,               0.000793,               0.000793,               0.000793
                     95,                 1.5915,                0.92015,                0.84988,                0.69654,                0.54633,                0.58448,                0.35012,                 1.6484,                0.89461,                0.85371,               0.000694,               0.000694,               0.000694
                     96,                 1.5956,                0.91403,                0.84918,                0.70147,                0.54834,                 0.5896,                0.35187,                 1.6322,                0.89161,                0.85407,               0.000595,               0.000595,               0.000595
                     97,                 1.5963,                0.91855,                0.84884,                 0.7017,                0.55073,                0.58947,                0.35212,                 1.6327,                0.89178,                0.85333,               0.000496,               0.000496,               0.000496
                     98,                 1.5921,                0.91934,                 0.8468,                0.69571,                0.54567,                0.58442,                0.35621,                 1.6271,                0.88599,                0.85252,               0.000397,               0.000397,               0.000397
                     99,                 1.6023,                 0.9185,                0.84672,                0.68519,                0.54688,                0.58479,                0.35464,                 1.6296,                0.89247,                0.85292,               0.000298,               0.000298,               0.000298
