                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9325,                0.97794,                0.86468,                0.71733,                0.52207,                 0.5735,                0.32997,                 1.7588,                0.95306,                0.86232,               0.006634,               0.006634,               0.006634
                     36,                 1.8656,                0.97323,                0.86203,                0.72415,                  0.533,                 0.5794,                0.33102,                 1.7696,                0.95651,                0.86565,               0.006535,               0.006535,               0.006535
                     37,                 1.8588,                0.97173,                0.85731,                0.72461,                0.54524,                 0.5788,                0.33633,                 1.6941,                0.95791,                0.86359,               0.006436,               0.006436,               0.006436
                     38,                  1.828,                 0.9444,                0.85788,                0.69186,                0.51555,                0.55372,                0.31017,                 1.7174,                0.93353,                0.86133,               0.006337,               0.006337,               0.006337
                     39,                  1.825,                 0.9495,                0.85538,                0.70162,                0.56279,                0.57305,                0.32513,                  1.674,                0.91434,                0.86075,               0.006238,               0.006238,               0.006238
                     40,                 1.8267,                0.94079,                0.85873,                0.70981,                0.54282,                0.58574,                0.33268,                 1.7227,                0.92332,                 0.8637,               0.006139,               0.006139,               0.006139
                     41,                 1.8045,                0.93004,                0.85696,                0.70222,                0.55268,                0.58896,                0.32477,                 1.7222,                0.91567,                0.86044,                0.00604,                0.00604,                0.00604
                     42,                 1.8136,                0.93185,                0.85312,                0.70249,                0.56718,                0.58729,                0.34679,                 1.6474,                0.89011,                0.85473,               0.005941,               0.005941,               0.005941
                     43,                 1.8005,                0.92091,                0.85306,                0.68477,                0.54913,                0.58451,                0.32564,                 1.7335,                0.90579,                0.86352,               0.005842,               0.005842,               0.005842
                     44,                 1.7815,                0.92935,                0.85413,                0.68501,                0.55883,                0.59549,                0.33757,                 1.6273,                0.86924,                 0.8543,               0.005743,               0.005743,               0.005743
                     45,                 1.7781,                0.91695,                0.85431,                0.71997,                0.55316,                0.59447,                0.34541,                 1.6226,                0.87411,                0.85541,               0.005644,               0.005644,               0.005644
                     46,                 1.7795,                0.90859,                0.84868,                0.72717,                0.55908,                0.59221,                0.35576,                 1.6283,                0.87697,                0.85958,               0.005545,               0.005545,               0.005545
                     47,                 1.7332,                0.88502,                0.85039,                0.80725,                0.54591,                0.60657,                0.35907,                 1.6048,                0.86818,                0.85518,               0.005446,               0.005446,               0.005446
                     48,                 1.7723,                 0.9031,                0.84801,                0.71977,                0.56777,                0.61502,                0.35858,                 1.6401,                0.88335,                0.85366,               0.005347,               0.005347,               0.005347
                     49,                 1.7497,                0.90162,                0.84959,                0.68036,                0.56627,                0.60159,                0.35447,                 1.6287,                0.87513,                0.85362,               0.005248,               0.005248,               0.005248
                     50,                 1.7178,                0.88689,                0.85158,                 0.6918,                0.53666,                0.58787,                0.33953,                 1.6625,                0.89003,                0.85828,               0.005149,               0.005149,               0.005149
                     51,                 1.7442,                0.89807,                0.84785,                 0.7179,                0.55993,                0.59292,                0.35563,                 1.6199,                0.87934,                0.85431,                0.00505,                0.00505,                0.00505
                     52,                 1.7468,                0.89838,                0.84816,                0.69527,                0.57892,                0.60322,                 0.3625,                 1.6171,                0.88849,                0.85558,               0.004951,               0.004951,               0.004951
                     53,                 1.7135,                0.87433,                0.84396,                 0.6819,                0.58028,                0.60436,                0.35651,                  1.605,                 0.8653,                0.84991,               0.004852,               0.004852,               0.004852
                     54,                 1.7093,                0.87777,                0.83745,                0.70708,                0.55252,                0.60506,                0.35114,                 1.6286,                0.87315,                0.84876,               0.004753,               0.004753,               0.004753
                     55,                 1.6442,                0.86681,                0.84444,                 0.7712,                0.55418,                0.60351,                0.34823,                 1.6339,                0.86364,                0.85265,               0.004654,               0.004654,               0.004654
                     56,                  1.718,                0.87069,                0.84633,                0.78745,                0.54391,                0.61696,                0.36621,                 1.5898,                0.86323,                0.85317,               0.004555,               0.004555,               0.004555
                     57,                 1.6599,                0.85165,                0.84448,                0.75719,                0.56066,                0.60843,                0.35566,                  1.581,                 0.8383,                 0.8494,               0.004456,               0.004456,               0.004456
